station,init_utc,fhour,valid_utc,var,val
ZBAA,2024-04-01T00:00:00+00:00,0,2024-04-01T00:00:00+00:00,prmsl,101530.038
ZGGG,2024-04-01T00:00:00+00:00,0,2024-04-01T00:00:00+00:00,prmsl,100955.838
ZGSZ,2024-04-01T00:00:00+00:00,0,2024-04-01T00:00:00+00:00,prmsl,101020.038
ZHCC,2024-04-01T00:00:00+00:00,0,2024-04-01T00:00:00+00:00,prmsl,100794.038
ZHHH,2024-04-01T00:00:00+00:00,0,2024-04-01T00:00:00+00:00,prmsl,100783.838
ZSJN,2024-04-01T00:00:00+00:00,0,2024-04-01T00:00:00+00:00,prmsl,101110.438
ZSPD,2024-04-01T00:00:00+00:00,0,2024-04-01T00:00:00+00:00,prmsl,101541.438
ZSQD,2024-04-01T00:00:00+00:00,0,2024-04-01T00:00:00+00:00,prmsl,101418.038
ZUCK,2024-04-01T00:00:00+00:00,0,2024-04-01T00:00:00+00:00,prmsl,100123.438
ZUUU,2024-04-01T00:00:00+00:00,0,2024-04-01T00:00:00+00:00,prmsl,100174.838
ZSQD_NEW,2024-04-01T00:00:00+00:00,0,2024-04-01T00:00:00+00:00,prmsl,101384.038
ZBAA,2024-04-01T00:00:00+00:00,0,2024-04-01T00:00:00+00:00,sp,101083.772
ZGGG,2024-04-01T00:00:00+00:00,0,2024-04-01T00:00:00+00:00,sp,100034.172
ZGSZ,2024-04-01T00:00:00+00:00,0,2024-04-01T00:00:00+00:00,sp,100818.172
ZHCC,2024-04-01T00:00:00+00:00,0,2024-04-01T00:00:00+00:00,sp,99058.172
ZHHH,2024-04-01T00:00:00+00:00,0,2024-04-01T00:00:00+00:00,sp,100467.772
ZSJN,2024-04-01T00:00:00+00:00,0,2024-04-01T00:00:00+00:00,sp,100234.172
ZSPD,2024-04-01T00:00:00+00:00,0,2024-04-01T00:00:00+00:00,sp,101517.372
ZSQD,2024-04-01T00:00:00+00:00,0,2024-04-01T00:00:00+00:00,sp,99790.972
ZUCK,2024-04-01T00:00:00+00:00,0,2024-04-01T00:00:00+00:00,sp,95920.572
ZUUU,2024-04-01T00:00:00+00:00,0,2024-04-01T00:00:00+00:00,sp,94539.772
ZSQD_NEW,2024-04-01T00:00:00+00:00,0,2024-04-01T00:00:00+00:00,sp,101058.172
ZBAA,2024-04-01T00:00:00+00:00,0,2024-04-01T00:00:00+00:00,t2m,283.4
ZGGG,2024-04-01T00:00:00+00:00,0,2024-04-01T00:00:00+00:00,t2m,296.6
ZGSZ,2024-04-01T00:00:00+00:00,0,2024-04-01T00:00:00+00:00,t2m,297.7
ZHCC,2024-04-01T00:00:00+00:00,0,2024-04-01T00:00:00+00:00,t2m,291.3
ZHHH,2024-04-01T00:00:00+00:00,0,2024-04-01T00:00:00+00:00,t2m,294.5
ZSJN,2024-04-01T00:00:00+00:00,0,2024-04-01T00:00:00+00:00,t2m,291.3
ZSPD,2024-04-01T00:00:00+00:00,0,2024-04-01T00:00:00+00:00,t2m,286.5
ZSQD,2024-04-01T00:00:00+00:00,0,2024-04-01T00:00:00+00:00,t2m,286.4
ZUCK,2024-04-01T00:00:00+00:00,0,2024-04-01T00:00:00+00:00,t2m,293.1
ZUUU,2024-04-01T00:00:00+00:00,0,2024-04-01T00:00:00+00:00,t2m,292.6
ZSQD_NEW,2024-04-01T00:00:00+00:00,0,2024-04-01T00:00:00+00:00,t2m,285.4
ZBAA,2024-04-01T00:00:00+00:00,0,2024-04-01T00:00:00+00:00,r2,27.7
ZGGG,2024-04-01T00:00:00+00:00,0,2024-04-01T00:00:00+00:00,r2,95.1
ZGSZ,2024-04-01T00:00:00+00:00,0,2024-04-01T00:00:00+00:00,r2,92.0
ZHCC,2024-04-01T00:00:00+00:00,0,2024-04-01T00:00:00+00:00,r2,83.3
ZHHH,2024-04-01T00:00:00+00:00,0,2024-04-01T00:00:00+00:00,r2,73.8
ZSJN,2024-04-01T00:00:00+00:00,0,2024-04-01T00:00:00+00:00,r2,51.3
ZSPD,2024-04-01T00:00:00+00:00,0,2024-04-01T00:00:00+00:00,r2,79.6
ZSQD,2024-04-01T00:00:00+00:00,0,2024-04-01T00:00:00+00:00,r2,41.3
ZUCK,2024-04-01T00:00:00+00:00,0,2024-04-01T00:00:00+00:00,r2,84.3
ZUUU,2024-04-01T00:00:00+00:00,0,2024-04-01T00:00:00+00:00,r2,67.3
ZSQD_NEW,2024-04-01T00:00:00+00:00,0,2024-04-01T00:00:00+00:00,r2,59.4
ZBAA,2024-04-01T00:00:00+00:00,0,2024-04-01T00:00:00+00:00,u10,-1.968
ZGGG,2024-04-01T00:00:00+00:00,0,2024-04-01T00:00:00+00:00,u10,-1.448
ZGSZ,2024-04-01T00:00:00+00:00,0,2024-04-01T00:00:00+00:00,u10,-1.858
ZHCC,2024-04-01T00:00:00+00:00,0,2024-04-01T00:00:00+00:00,u10,-1.248
ZHHH,2024-04-01T00:00:00+00:00,0,2024-04-01T00:00:00+00:00,u10,-5.128
ZSJN,2024-04-01T00:00:00+00:00,0,2024-04-01T00:00:00+00:00,u10,-0.468
ZSPD,2024-04-01T00:00:00+00:00,0,2024-04-01T00:00:00+00:00,u10,-2.728
ZSQD,2024-04-01T00:00:00+00:00,0,2024-04-01T00:00:00+00:00,u10,-0.048
ZUCK,2024-04-01T00:00:00+00:00,0,2024-04-01T00:00:00+00:00,u10,-1.608
ZUUU,2024-04-01T00:00:00+00:00,0,2024-04-01T00:00:00+00:00,u10,0.422
ZSQD_NEW,2024-04-01T00:00:00+00:00,0,2024-04-01T00:00:00+00:00,u10,-2.118
ZBAA,2024-04-01T00:00:00+00:00,0,2024-04-01T00:00:00+00:00,v10,1.305
ZGGG,2024-04-01T00:00:00+00:00,0,2024-04-01T00:00:00+00:00,v10,1.245
ZGSZ,2024-04-01T00:00:00+00:00,0,2024-04-01T00:00:00+00:00,v10,4.905
ZHCC,2024-04-01T00:00:00+00:00,0,2024-04-01T00:00:00+00:00,v10,3.885
ZHHH,2024-04-01T00:00:00+00:00,0,2024-04-01T00:00:00+00:00,v10,2.835
ZSJN,2024-04-01T00:00:00+00:00,0,2024-04-01T00:00:00+00:00,v10,0.485
ZSPD,2024-04-01T00:00:00+00:00,0,2024-04-01T00:00:00+00:00,v10,3.765
ZSQD,2024-04-01T00:00:00+00:00,0,2024-04-01T00:00:00+00:00,v10,1.615
ZUCK,2024-04-01T00:00:00+00:00,0,2024-04-01T00:00:00+00:00,v10,-0.795
ZUUU,2024-04-01T00:00:00+00:00,0,2024-04-01T00:00:00+00:00,v10,0.075
ZSQD_NEW,2024-04-01T00:00:00+00:00,0,2024-04-01T00:00:00+00:00,v10,2.935
ZBAA,2024-04-01T00:00:00+00:00,0,2024-04-01T00:00:00+00:00,tcc,97.3
ZGGG,2024-04-01T00:00:00+00:00,0,2024-04-01T00:00:00+00:00,tcc,63.5
ZGSZ,2024-04-01T00:00:00+00:00,0,2024-04-01T00:00:00+00:00,tcc,83.5
ZHCC,2024-04-01T00:00:00+00:00,0,2024-04-01T00:00:00+00:00,tcc,98.2
ZHHH,2024-04-01T00:00:00+00:00,0,2024-04-01T00:00:00+00:00,tcc,74.2
ZSJN,2024-04-01T00:00:00+00:00,0,2024-04-01T00:00:00+00:00,tcc,30.7
ZSPD,2024-04-01T00:00:00+00:00,0,2024-04-01T00:00:00+00:00,tcc,6.1
ZSQD,2024-04-01T00:00:00+00:00,0,2024-04-01T00:00:00+00:00,tcc,5.0
ZUCK,2024-04-01T00:00:00+00:00,0,2024-04-01T00:00:00+00:00,tcc,100.0
ZUUU,2024-04-01T00:00:00+00:00,0,2024-04-01T00:00:00+00:00,tcc,54.8
ZSQD_NEW,2024-04-01T00:00:00+00:00,0,2024-04-01T00:00:00+00:00,tcc,6.6
ZBAA,2024-04-01T00:00:00+00:00,0,2024-04-01T00:00:00+00:00,hpbl,467.393
ZGGG,2024-04-01T00:00:00+00:00,0,2024-04-01T00:00:00+00:00,hpbl,258.833
ZGSZ,2024-04-01T00:00:00+00:00,0,2024-04-01T00:00:00+00:00,hpbl,308.353
ZHCC,2024-04-01T00:00:00+00:00,0,2024-04-01T00:00:00+00:00,hpbl,181.233
ZHHH,2024-04-01T00:00:00+00:00,0,2024-04-01T00:00:00+00:00,hpbl,520.193
ZSJN,2024-04-01T00:00:00+00:00,0,2024-04-01T00:00:00+00:00,hpbl,170.113
ZSPD,2024-04-01T00:00:00+00:00,0,2024-04-01T00:00:00+00:00,hpbl,132.353
ZSQD,2024-04-01T00:00:00+00:00,0,2024-04-01T00:00:00+00:00,hpbl,147.953
ZUCK,2024-04-01T00:00:00+00:00,0,2024-04-01T00:00:00+00:00,hpbl,121.073
ZUUU,2024-04-01T00:00:00+00:00,0,2024-04-01T00:00:00+00:00,hpbl,63.633
ZSQD_NEW,2024-04-01T00:00:00+00:00,0,2024-04-01T00:00:00+00:00,hpbl,201.633
ZBAA,2024-04-01T00:00:00+00:00,1,2024-04-01T01:00:00+00:00,prmsl,101562.144
ZGGG,2024-04-01T00:00:00+00:00,1,2024-04-01T01:00:00+00:00,prmsl,100978.144
ZGSZ,2024-04-01T00:00:00+00:00,1,2024-04-01T01:00:00+00:00,prmsl,101065.744
ZHCC,2024-04-01T00:00:00+00:00,1,2024-04-01T01:00:00+00:00,prmsl,100787.144
ZHHH,2024-04-01T00:00:00+00:00,1,2024-04-01T01:00:00+00:00,prmsl,100748.344
ZSJN,2024-04-01T00:00:00+00:00,1,2024-04-01T01:00:00+00:00,prmsl,101153.544
ZSPD,2024-04-01T00:00:00+00:00,1,2024-04-01T01:00:00+00:00,prmsl,101553.944
ZSQD,2024-04-01T00:00:00+00:00,1,2024-04-01T01:00:00+00:00,prmsl,101437.144
ZUCK,2024-04-01T00:00:00+00:00,1,2024-04-01T01:00:00+00:00,prmsl,100151.144
ZUUU,2024-04-01T00:00:00+00:00,1,2024-04-01T01:00:00+00:00,prmsl,100222.144
ZSQD_NEW,2024-04-01T00:00:00+00:00,1,2024-04-01T01:00:00+00:00,prmsl,101409.744
ZBAA,2024-04-01T00:00:00+00:00,1,2024-04-01T01:00:00+00:00,sp,101115.519
ZGGG,2024-04-01T00:00:00+00:00,1,2024-04-01T01:00:00+00:00,sp,100061.119
ZGSZ,2024-04-01T00:00:00+00:00,1,2024-04-01T01:00:00+00:00,sp,100864.319
ZHCC,2024-04-01T00:00:00+00:00,1,2024-04-01T01:00:00+00:00,sp,99059.519
ZHHH,2024-04-01T00:00:00+00:00,1,2024-04-01T01:00:00+00:00,sp,100433.919
ZSJN,2024-04-01T00:00:00+00:00,1,2024-04-01T01:00:00+00:00,sp,100280.319
ZSPD,2024-04-01T00:00:00+00:00,1,2024-04-01T01:00:00+00:00,sp,101529.919
ZSQD,2024-04-01T00:00:00+00:00,1,2024-04-01T01:00:00+00:00,sp,99821.119
ZUCK,2024-04-01T00:00:00+00:00,1,2024-04-01T01:00:00+00:00,sp,95949.119
ZUUU,2024-04-01T00:00:00+00:00,1,2024-04-01T01:00:00+00:00,sp,94595.519
ZSQD_NEW,2024-04-01T00:00:00+00:00,1,2024-04-01T01:00:00+00:00,sp,101088.319
ZBAA,2024-04-01T00:00:00+00:00,1,2024-04-01T01:00:00+00:00,t2m,284.755
ZGGG,2024-04-01T00:00:00+00:00,1,2024-04-01T01:00:00+00:00,t2m,299.755
ZGSZ,2024-04-01T00:00:00+00:00,1,2024-04-01T01:00:00+00:00,t2m,298.155
ZHCC,2024-04-01T00:00:00+00:00,1,2024-04-01T01:00:00+00:00,t2m,294.055
ZHHH,2024-04-01T00:00:00+00:00,1,2024-04-01T01:00:00+00:00,t2m,296.155
ZSJN,2024-04-01T00:00:00+00:00,1,2024-04-01T01:00:00+00:00,t2m,293.555
ZSPD,2024-04-01T00:00:00+00:00,1,2024-04-01T01:00:00+00:00,t2m,287.255
ZSQD,2024-04-01T00:00:00+00:00,1,2024-04-01T01:00:00+00:00,t2m,288.755
ZUCK,2024-04-01T00:00:00+00:00,1,2024-04-01T01:00:00+00:00,t2m,293.355
ZUUU,2024-04-01T00:00:00+00:00,1,2024-04-01T01:00:00+00:00,t2m,294.055
ZSQD_NEW,2024-04-01T00:00:00+00:00,1,2024-04-01T01:00:00+00:00,t2m,288.355
ZBAA,2024-04-01T00:00:00+00:00,1,2024-04-01T01:00:00+00:00,r2,24.2
ZGGG,2024-04-01T00:00:00+00:00,1,2024-04-01T01:00:00+00:00,r2,84.9
ZGSZ,2024-04-01T00:00:00+00:00,1,2024-04-01T01:00:00+00:00,r2,88.6
ZHCC,2024-04-01T00:00:00+00:00,1,2024-04-01T01:00:00+00:00,r2,73.2
ZHHH,2024-04-01T00:00:00+00:00,1,2024-04-01T01:00:00+00:00,r2,65.3
ZSJN,2024-04-01T00:00:00+00:00,1,2024-04-01T01:00:00+00:00,r2,44.7
ZSPD,2024-04-01T00:00:00+00:00,1,2024-04-01T01:00:00+00:00,r2,78.8
ZSQD,2024-04-01T00:00:00+00:00,1,2024-04-01T01:00:00+00:00,r2,37.7
ZUCK,2024-04-01T00:00:00+00:00,1,2024-04-01T01:00:00+00:00,r2,82.5
ZUUU,2024-04-01T00:00:00+00:00,1,2024-04-01T01:00:00+00:00,r2,61.7
ZSQD_NEW,2024-04-01T00:00:00+00:00,1,2024-04-01T01:00:00+00:00,r2,55.0
ZBAA,2024-04-01T00:00:00+00:00,1,2024-04-01T01:00:00+00:00,u10,-2.522
